interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;measure_1;0;0.10;1;1;513705576#1;0;0;0.10;2;0.05;4.20;7.57;6.06;2.47;3.62;0.00
0.00;3600.00;measure_1;0;;0;0;513705577#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705577#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705579#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705579#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705580#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705580#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705581#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513705581#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51492950#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51492950#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.31;0;12;51492953#0;0;0;0.31;12;0.15;17.02;204.25;11.17;47.02;16.14;2.00
0.00;3600.00;measure_1;11;0.77;1;11;51492953#2;0;0;0.77;1;0.20;1.60;14.35;6.35;7.59;0.81;0.00
0.00;3600.00;measure_1;0;2.00;0;12;51492955;0;0;2.00;12;0.47;2.57;30.90;3.61;13.03;1.05;0.00
0.00;3600.00;measure_1;0;;0;0;51492956;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.03;1;0;51492963#0;0;0;0.03;1;0.01;9.89;9.36;9.65;2.85;9.53;0.00
0.00;3600.00;measure_1;0;0.10;0;3;51492963#1;0;0;0.10;3;0.04;8.13;24.39;9.20;8.23;7.41;0.00
0.00;3600.00;measure_1;0;0.04;0;1;51492964#0;0;0;0.04;1;0.02;4.53;4.53;8.13;1.60;3.79;0.00
0.00;3600.00;measure_1;0;0.03;0;1;51492964#1;0;0;0.03;1;0.01;4.28;4.28;10.85;1.19;3.82;0.00
0.00;3600.00;measure_1;0;2.09;0;1;51492964#2;0;0;2.09;1;0.04;1.51;1.51;3.45;0.42;0.05;0.00
0.00;3600.00;measure_1;0;0.11;1;1;51492965#1;0;0;0.11;2;0.05;7.38;13.77;5.20;7.75;5.51;0.00
0.00;3600.00;measure_1;0;1.57;0;39;51492966;0;0;1.57;39;0.67;5.68;221.55;7.80;77.33;4.87;0.00
0.00;3600.00;measure_1;0;;0;0;51492967#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51492968#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51492968#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51492968#3;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;515364295;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.03;0;1;516233855;0;0;0.03;0;0.01;3.26;3.08;9.35;1.09;2.79;0.00
0.00;3600.00;measure_1;0;0.39;0;4;516263787;0;0;0.39;4;0.18;9.51;38.03;3.37;32.15;8.61;19.00
0.00;3600.00;measure_1;0;;0;0;516594940;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;516594941;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;516594942;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;516634242;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;516650814;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;2.78;1;0;517374584;0;0;2.78;1;0.05;2.09;2.01;2.49;1.00;;0.00
